Time (sec),Center,V
0.41850000000000004,ca,5.591894631655684e-05
0.41850000000000004,cb,0.00028748771633485337
0.42000000000000004,ca,5.600056250395334e-05
0.42000000000000004,cb,0.00028748771633485337
0.42150000000000004,ca,5.607401707261019e-05
0.42150000000000004,cb,0.00028748771633485337
0.42300000000000004,ca,5.468924218224589e-05
0.42300000000000004,cb,0.00028748771633485337
0.42450000000000004,ca,5.3029773487301895e-05
0.42450000000000004,cb,0.00028748771633485337
0.42600000000000005,ca,5.1652602380514935e-05
0.42600000000000005,cb,0.00028748771633485337
0.42750000000000005,ca,5.4016426394972207e-05
0.42750000000000005,cb,0.00028748771633485337
0.42900000000000005,ca,5.662002875576157e-05
0.42900000000000005,cb,0.00028748771633485337
0.4305,ca,5.6989785514204605e-05
0.4305,cb,0.00028748771633485337
0.432,ca,5.7501607837267434e-05
0.432,cb,0.00028748771633485337
0.4335,ca,5.7754660899882194e-05
0.4335,cb,0.00028748771633485337
0.435,ca,5.65244288336e-05
0.435,cb,0.00028748771633485337
0.4365,ca,5.5897864420406264e-05
0.4365,cb,0.00028748771633485337
0.438,ca,5.573297867789268e-05
0.438,cb,0.00028748771633485337
0.4395,ca,5.7121805327208326e-05
0.4395,cb,0.00028748771633485337
0.441,ca,5.8955308522165024e-05
0.441,cb,0.00028748771633485337
0.4425,ca,5.9538478280866414e-05
0.4425,cb,0.00028748771633485337
0.444,ca,5.935481309672646e-05
0.444,cb,0.00028748771633485337
0.4455,ca,5.962950050956133e-05
0.4455,cb,0.00028748771633485337
0.447,ca,6.0256626414573215e-05
0.447,cb,0.00028748771633485337
0.4485,ca,6.067003606892514e-05
0.4485,cb,0.00028748771633485337
0.45,ca,6.0304129578659554e-05
0.45,cb,0.00028748771633485337
0.4515,ca,6.2828384654456e-05
0.4515,cb,0.00028748771633485337
0.453,ca,6.510021422267279e-05
0.453,cb,0.00028748771633485337
0.4545,ca,6.514855591739543e-05
0.4545,cb,0.00028748771633485337
0.456,ca,6.421517982496936e-05
0.456,cb,0.00028748771633485337
0.4575,ca,6.323989119409622e-05
0.4575,cb,0.00028748771633485337
0.459,ca,6.268195028066574e-05
0.459,cb,0.00028748771633485337
0.4605,ca,6.238345709341461e-05
0.4605,cb,0.00028748771633485337
0.462,ca,6.347991049827135e-05
0.462,cb,0.00028748771633485337
0.4635,ca,6.424434799885513e-05
0.4635,cb,0.00028748771633485337
0.465,ca,6.142653823218712e-05
0.465,cb,0.00028748771633485337
0.4665,ca,5.873314301357153e-05
0.4665,cb,0.00028748771633485337
0.468,ca,5.7507995503321436e-05
0.468,cb,0.00028748771633485337
0.46950000000000003,ca,6.004837652833271e-05
0.46950000000000003,cb,0.00028748771633485337
0.47100000000000003,ca,6.233471945084286e-05
0.47100000000000003,cb,0.00028748771633485337
0.47250000000000003,ca,6.256389807169832e-05
0.47250000000000003,cb,0.00028748771633485337
0.47400000000000003,ca,6.15706643754452e-05
0.47400000000000003,cb,0.00028748771633485337
0.47550000000000003,ca,6.006734979999118e-05
0.47550000000000003,cb,0.00028748771633485337
0.47700000000000004,ca,5.984769310356761e-05
0.47700000000000004,cb,0.00028748771633485337
0.47850000000000004,ca,6.089376420813076e-05
0.47850000000000004,cb,0.00028748771633485337
0.48000000000000004,ca,6.07379751315535e-05
0.48000000000000004,cb,0.00028748771633485337
0.48150000000000004,ca,5.9566269253571464e-05
0.48150000000000004,cb,0.00028748771633485337
0.48300000000000004,ca,5.813217795673869e-05
0.48300000000000004,cb,0.00028748771633485337
0.48450000000000004,ca,5.682044250577248e-05
0.48450000000000004,cb,0.00028748771633485337
0.48600000000000004,ca,5.5516852184886976e-05
0.48600000000000004,cb,0.00028748771633485337
0.48750000000000004,ca,5.621794548428469e-05
0.48750000000000004,cb,0.00028748771633485337
0.48900000000000005,ca,5.804066561433141e-05
0.48900000000000005,cb,0.00028748771633485337
0.49050000000000005,ca,5.9464371257154114e-05
0.49050000000000005,cb,0.00028748771633485337
0.49200000000000005,ca,5.993450659406233e-05
0.49200000000000005,cb,0.00028748771633485337
0.49350000000000005,ca,5.9143291427361504e-05
0.49350000000000005,cb,0.00028748771633485337
0.49500000000000005,ca,5.8137325953947836e-05
0.49500000000000005,cb,0.00028748771633485337
0.4965,ca,5.7231957027875535e-05
0.4965,cb,0.00028748771633485337
0.498,ca,5.7276734532534154e-05
0.498,cb,0.00028748771633485337
0.4995,ca,5.7317034286726914e-05
0.4995,cb,0.00028748771633485337
0.501,ca,5.592424814841964e-05
0.501,cb,0.00028748771633485337
0.5025000000000001,ca,5.552247432061377e-05
0.5025000000000001,cb,0.00028748771633485337
0.504,ca,5.54054459762708e-05
0.504,cb,0.00028748771633485337
0.5055000000000001,ca,5.480162574258459e-05
0.5055000000000001,cb,0.00028748771633485337
0.507,ca,5.58052015412343e-05
0.507,cb,0.00028748771633485337
0.5085000000000001,ca,5.679256052462401e-05
0.5085000000000001,cb,0.00028748771633485337
0.51,ca,5.6625077051584006e-05
0.51,cb,0.00028748771633485337
0.5115000000000001,ca,5.667749198118902e-05
0.5115000000000001,cb,0.00028748771633485337
0.513,ca,5.7585560483289925e-05
0.513,cb,0.00028748771633485337
0.5145000000000001,ca,5.8402822135180735e-05
0.5145000000000001,cb,0.00028748771633485337
0.516,ca,5.7589275522080005e-05
0.516,cb,0.00028748771633485337
0.5175000000000001,ca,5.726147789868675e-05
0.5175000000000001,cb,0.00028748771633485337
0.519,ca,5.85283765354383e-05
0.519,cb,0.00028748771633485337
0.5205000000000001,ca,5.9668585308514694e-05
0.5205000000000001,cb,0.00028748771633485337
0.522,ca,6.194679598145845e-05
0.522,cb,0.00028748771633485337
0.5235000000000001,ca,6.399718558710782e-05
